"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"11/29/2023","11/29/2023","11/30/2023","CTRA","CTRA 1/19/2024 Put $26.50","STO","3","$0.91","$272.89"
"11/29/2023","11/29/2023","11/30/2023","CTRA","CTRA 12/1/2023 Put $27.00","BTC","3","$0.86","($258.09)"
"11/29/2023","11/29/2023","12/1/2023","VZ","Verizon
CUSIP: 92343V104","Sell","0.252679","$37.64","$9.51"
"11/28/2023","11/28/2023","11/29/2023","ADI","ADI 12/1/2023 Call $187.50","STO","1","$0.10","$9.95"
"11/28/2023","11/28/2023","11/29/2023","MU","MU 6/21/2024 Put $72.50","BTC","1","$5.98","($598.03)"
"11/28/2023","11/28/2023","11/29/2023","MU","MU 4/19/2024 Put $75.00","STO","1","$5.98","$597.95"
"11/28/2023","11/28/2023","11/30/2023","VZ","Verizon
CUSIP: 92343V104","Buy","0.252679","$37.31","($9.43)"
"11/28/2023","11/28/2023","11/28/2023","","Transfer from Brokerage to Spending","XENT","","","($500.00)"
"11/27/2023","11/27/2023","11/27/2023","","Roundup - Transfer from Spending to Brokerage","XENT_RWR","","","$9.43"
"11/27/2023","11/27/2023","11/28/2023","AAPL","AAPL 12/1/2023 Put $190.00","BTC","1","$1.07","($107.03)"
"11/27/2023","11/27/2023","11/28/2023","AAPL","AAPL 12/1/2023 Put $190.00","STO","1","$1.07","$106.95"
"11/27/2023","11/27/2023","11/28/2023","XOM","XOM 12/1/2023 Put $102.00","STO","1","$0.52","$51.95"
"11/27/2023","11/27/2023","11/29/2023","VZ","Verizon
CUSIP: 92343V104","Sell","6.660051","$37.39","$249.04"
"11/27/2023","11/27/2023","11/28/2023","AMZN","AMZN 12/1/2023 Put $146.00","STO","1","$1.17","$116.95"
"11/27/2023","11/27/2023","11/27/2023","","Transfer from Brokerage to Spending","XENT","","","($300.00)"
"11/27/2023","11/27/2023","11/27/2023","","Backup Coverage Transfer - Transfer from Brokerage to Spending","XENT","","","($75.80)"
"11/24/2023","11/24/2023","11/27/2023","ADI","Option Expiration for ADI 11/24/2023 Call $187.50","OEXP","1","",""
"11/24/2023","11/24/2023","11/27/2023","VZ","VZ 11/24/2023 Call $37.00","OASGN","4","",""
"11/24/2023","11/24/2023","11/28/2023","VZ","Verizon
CUSIP: 92343V104
4 VZ Options Assigned","Sell","400","$37.00","$14,799.82"
"11/24/2023","11/24/2023","11/24/2023","","Transfer from Brokerage to Spending","XENT","","","($500.00)"
"11/24/2023","11/24/2023","11/27/2023","","ACH Deposit","ACH","","","$2,000.00"
"11/24/2023","11/24/2023","11/27/2023","DG","DG 11/24/2023 Put $121.00","BTC","1","$0.10","($10.03)"
"11/22/2023","11/22/2023","11/24/2023","AMD","AMD 11/24/2023 Put $116.00","BTC","1","$0.04","($4.03)"
"11/22/2023","11/22/2023","11/24/2023","CTRA","CTRA 12/1/2023 Put $27.00","STO","3","$1.00","$299.89"
"11/22/2023","11/22/2023","11/24/2023","CTRA","CTRA 11/24/2023 Put $27.00","BTC","3","$0.97","($291.09)"
