"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"10/27/2023","10/27/2023","10/30/2023","AMZN","AMZN 11/10/2023 Put $128.00","BTC","1","$3.43","($343.03)"
"10/27/2023","10/27/2023","10/30/2023","AMZN","AMZN 11/17/2023 Put $127.00","STO","1","$3.65","$364.95"
"10/25/2023","10/25/2023","10/26/2023","AMZN","AMZN 11/10/2023 Put $128.00","STO","1","$9.49","$948.95"
"10/25/2023","10/25/2023","10/26/2023","AMZN","AMZN 10/27/2023 Put $129.00","BTC","1","$9.35","($935.03)"
"10/25/2023","10/25/2023","10/26/2023","ADI","ADI 11/10/2023 Put $162.50","STO","1","$4.87","$486.95"
"10/25/2023","10/25/2023","10/26/2023","ADI","ADI 10/27/2023 Put $165.00","BTC","1","$4.67","($467.03)"
"10/25/2023","10/25/2023","10/26/2023","GM","GM 10/27/2023 Put $31.00","BTC","1","$2.85","($285.03)"
"10/25/2023","10/25/2023","10/26/2023","GM","GM 11/3/2023 Put $31.00","STO","1","$2.86","$285.95"
"10/20/2023","10/20/2023","10/23/2023","ADI","ADI 10/27/2023 Put $165.00","STO","1","$2.35","$234.98"
"10/20/2023","10/20/2023","10/23/2023","XOM","XOM 10/20/2023 Put $110.00","BTC","1","$0.05","($5.00)"
"10/19/2023","10/19/2023","10/20/2023","AMZN","AMZN 10/27/2023 Put $129.00","STO","1","$5.00","$499.98"
"10/19/2023","10/19/2023","10/20/2023","AMZN","AMZN 10/20/2023 Put $130.00","BTC","1","$2.15","($215.00)"
"10/18/2023","10/18/2023","10/19/2023","ADI","ADI 11/3/2023 Call $180.00","STO","1","$1.40","$139.98"
"10/13/2023","10/13/2023","10/16/2023","XOM","XOM 10/13/2023 Put $111.00","BTC","1","$1.19","($119.00)"
"10/13/2023","10/13/2023","10/16/2023","XOM","XOM 10/20/2023 Put $110.00","STO","1","$1.76","$175.98"
"10/12/2023","10/12/2023","10/13/2023","GM","GM 10/27/2023 Put $31.00","STO","1","$1.27","$126.98"
"10/12/2023","10/12/2023","10/13/2023","GM","GM 10/13/2023 Put $31.50","BTC","1","$1.06","($106.00)"
